"Expt","Run","Speed"
1,1,299850
1,2,299740
1,3,299900
1,4,300070
1,5,299930
1,6,299850
1,7,299950
1,8,299980
1,9,299980
1,10,299880
1,11,300000
1,12,299980
1,13,299930
1,14,299650
1,15,299760
1,16,299810
1,17,300000
1,18,300000
1,19,299960
1,20,299960
2,1,299960
2,2,299940
2,3,299960
2,4,299940
2,5,299880
2,6,299800
2,7,299850
2,8,299880
2,9,299900
2,10,299840
2,11,299830
2,12,299790
2,13,299810
2,14,299880
2,15,299880
2,16,299830
2,17,299800
2,18,299790
2,19,299760
2,20,299800
3,1,299880
3,2,299880
3,3,299880
3,4,299860
3,5,299720
3,6,299720
3,7,299620
3,8,299860
3,9,299970
3,10,299950
3,11,299880
3,12,299910
3,13,299850
3,14,299870
3,15,299840
3,16,299840
3,17,299850
3,18,299840
3,19,299840
3,20,299840
4,1,299890
4,2,299810
4,3,299810
4,4,299820
4,5,299800
4,6,299770
4,7,299760
4,8,299740
4,9,299750
4,10,299760
4,11,299910
4,12,299920
4,13,299890
4,14,299860
4,15,299880
4,16,299720
4,17,299840
4,18,299850
4,19,299850
4,20,299780
5,1,299890
5,2,299840
5,3,299780
5,4,299810
5,5,299760
5,6,299810
5,7,299790
5,8,299810
5,9,299820
5,10,299850
5,11,299870
5,12,299870
5,13,299810
5,14,299740
5,15,299810
5,16,299940
5,17,299950
5,18,299800
5,19,299810
5,20,299870